phrase,phrasekey,is_acronym
the dry state,tds,0
zero three,zt,0
angry birds,ab,0
bhama couture,bc,0
fame forever by lifestyle,ffbl,1
fame forever by lifestyle,ffl,1
me lady fashion,mlf,1
pratham blue,pb,0
r reich color,rrc,0
rangapure's bhartiya paridhan,bp,0
rupa jon,rj,0
yash gallery,yg,0
arbiter collection,ac,0
banno's swagger,s,0
french connection,fc,0
miracolos by ruchi,mbr,0
people by pantaloons,pbp,0
roller fashions,rf,0
rugged outback,ro,0
dorall collection,dc,0
giorgio armani,ga,0
poppers by pantaloons,pbp,0
stud apparels,sa,0
vala s,vs,0
you got plan b,ygpb,0
dein kleider,dk,0
hello kitty,hk,0
modello domani,md,0
pantaloons baby,pb,0
rare london,rl,0
chirpie pie by pantaloons,cpbp,0
cool colors,cc,0
feel alive,fa,0
jusmiro mindfully crafted,jmc,1
my foot,mf,0
my little pony,mlp,1
para trooper,pt,0
play panda,pp,0
privy league,pl,0
11-11 eleven eleven,ee,0
alto moda by pantaloons,ambp,0
difference of opinion,doo,0
klassyque as royal as you,karay,1
pal fashions,pf,0
pantaloons junior,pj,0
force nxt,fn,0
indi inside,ii,0
john players,jp,0
moose tribe,mt,0
n dot,&d,0
n dot,ad,0
pavers england,pe,0
san frissco,sf,0
sassy cheeni,sc,0
antony morato,am,0
born babies,bb,0
british knights,bk,0
lil'star by ayesha,ba,0
maserati watches,mw,0
peach blossom,pb,0
the boo boo club,tbbc,0
ajs living,al,0
city sneaks,cs,0
ek taara,et,0
kuons avenue,ka,0
lower east side,les,0
nino bonito,nb,0
pacific gold,pg,0
the wooden closet,twc,0
aadhunik libaas,al,0
below the belt,btb,0
fruit of the loom,fotl,0
heart 2 heart,h2h,2
may sixty,ms,0
the dance bible,tdb,0
wear we met,wwm,0
american tourister,at,0
be indi,bi,0
by the fit,btf,0
dune london,dl,0
happy hours,hh,0
izabel london by pantaloons,ilbp,0
pink lemon,pl,0
flying machine womens,fmw,0
manbasiya ethnic clothings,mec,0
new era,ne,0
radiant designer studio,rds,0
teakwood leathers,tl,0
urvashi kaur,uk,0
b4u fashion,bf,0
dream of glory inc,dogi,0
fisher price,fp,0
kraft cellar,kc,0
namma ooru trend,not,0
royal kurta,rk,0
selfie star,ss,0
trend arrest,ta,0
all things sundar,ats,0
attic salt,as,0
live evil,le,0
lux venus,lv,0
popsicles clothing,pc,0
rudra bazaar,rb,0
tag 7 plus,t7p,1
v-vivid wave,w,0
ea7 emporio armani,eea,0
fabric fitoor,ff,0
fs mini klub,fmk,0
havva fashion,hf,0
indigo nation,in,0
kay dee,kd,0
nature casuals,nc,0
paw patrol,pp,0
poonam designer,pd,0
pride apparel,pa,0
tau-g identity of tradition,iot,0
bagsy malone,bm,0
charm n cherish,cac,1
charm n cherish,c&c,1
hot wheels,hw,0
inc 5,i5,0
iski uski,iu,0
kolor fusion,kf,0
roop kashish,rk,0
aishwary glams,ag,0
another influence,ai,0
discovery adventures,da,0
heavenly feet,hf,0
honey by pantaloons,hbp,0
love moschino,lm,0
urban hug,uh,0
anvi be yourself,aby,0
byford by pantaloons,bbp,0
ddecor live beautiful,dlb,0
joe shu,js,0
london fashion hob,lfh,0
salvatore ferragamo,sf,0
bhumi an ethnic,bae,0
enchanted drapes,ed,0
excel production,ep,0
griva designer,gd,0
hatchimals colleggtibles,hc,0
high star,hs,0
sand dune,sd,0
say it loud,sil,0
the tassle life,ttl,0
