row_num,word,rightword,,w_count,r_count,old_r_count,soundex,dropThese?,RtoR,Remarks,mapping_type
1847,shinchan,shinchan,#N/A,45,45,12463,S525,,TRUE,,R2R
1848,shipers,slippers,#N/A,,12169,499,S162,,FALSE,,W2R
1849,shirsts,shirts,#N/A,,220084,137250,S623,,FALSE,,W2R
1850,shirt,shirts,#N/A,273833,220084,,,,FALSE,,W2R
1851,shirten,shirts,#N/A,,220084,11802,S635,,FALSE,,W2R
1852,shirtfor,shirts,#N/A,2,273833,102268,S631,,FALSE,,W2R
1853,shirtmen,men shirts,#N/A,,,26580,S635,,FALSE,,W2R
1854,shirts,shirts,#N/A,220084,220084,,,,TRUE,,R2R
1855,shirtsbfor,shirts,#N/A,,220084,13126,S632,,FALSE,,W2R
1856,shirtsfor,shirts,#N/A,,220084,123391,S632,1,FALSE,,W2R
1857,shirtsmen,men shirts,#N/A,,,28609,S632,,FALSE,,W2R
1858,shist,shirts,#N/A,,220084,25352,S230,,FALSE,,W2R
1859,shists,shirts,#N/A,,220084,12477,S232,,FALSE,,W2R
1860,shitrt,shirts,#N/A,,220084,25217,S363,,FALSE,,W2R
1861,shitrts,shirts,#N/A,,220084,38802,S363,,FALSE,,W2R
1862,shivnaresh,shivnaresh,#N/A,,,11454,S156,,TRUE,,R2R
1863,shoeless,shoe lace,#N/A,,,15930,S420,,FALSE,,W2R
1864,shoesen,shoes,#N/A,,62160,12265,S250,,FALSE,,W2R
1865,shoesfor,shoes,#N/A,,62160,55218,S216,,FALSE,,W2R
1866,shoesmen,men shoes,#N/A,,,30948,S255,,FALSE,,W2R
1867,shorsts,shorts,#N/A,,45307,302,S623,,FALSE,,W2R
1868,shortkurti,short kurtis,#N/A,,,162,S632,,FALSE,,W2R
1869,shorts,shorts,shorts,45307,45307,,,,TRUE,,R2R
1870,shorts,shorts,shorts,45307,45307,,,1,TRUE,,R2R
1871,shorts,shorts,#N/A,45307,45307,,,1,TRUE,,R2R
1872,shortsfor,shorts,#N/A,,45307,26927,S632,,FALSE,,W2R
1873,shortsuit,playsuits,#N/A,,6657,,,,FALSE,,W2R
1874,shorty,shorts,#N/A,,45307,,,,FALSE,,W2R
1875,shosr,shoes,#N/A,,62160,19744,S260,,FALSE,,W2R
1876,shoulderbags,shoulder bags,#N/A,,,13609,S436,,FALSE,,W2R
1877,shoulderless,cold shoulders,#N/A,,,15230,S436,1,FALSE,,R1 2 R2
1878,shous,shoes,#N/A,,62160,17360,S200,,FALSE,,W2R
1879,shredded,distressed,#N/A,4,2671,,,,FALSE,,W2R
1880,shrirt,shirts,#N/A,,220084,21679,S663,,FALSE,,W2R
1881,shrirts,shirts,#N/A,,220084,14726,S663,,FALSE,,W2R
1882,shrite,shirts,#N/A,,220084,27188,S630,,FALSE,,W2R
1883,shrites,shirts,#N/A,,220084,14112,S632,,FALSE,,W2R
1884,shrug,shrugs,#N/A,3023,13758,,,,FALSE,,R1 2 R2
1885,shrugs,shrugs,#N/A,13758,13758,,,,TRUE,,R2R
1886,shrvani,sherwani,#N/A,,1891,130,S615,,FALSE,,W2R
1887,sidebag,sidebag,#N/A,2,2,18789,S312,,TRUE,,R2R
1888,siffon,chiffon,#N/A,2,13689,216516,S150,,FALSE,,W2R
1889,silipar,slippers,#N/A,,12169,14987,S416,,FALSE,,W2R
1890,silksarees,silk sarees,#N/A,,,48541,S426,,FALSE,,W2R
1891,silliper,slippers,#N/A,,12169,24044,S416,,FALSE,,W2R
1892,sillipers,slippers,#N/A,,12169,13441,S416,,FALSE,,W2R
1893,sillpers,slippers,#N/A,,12169,36034,S416,,FALSE,,W2R
1894,sippars,slippers,#N/A,,12169,388,S162,,FALSE,,W2R
1895,sisindri,sisindri,#N/A,,,20846,S253,,TRUE,,R2R
1896,sivless,sleeveless,#N/A,,22460,19310,S142,,FALSE,,W2R
1897,skacher,skechers,#N/A,,995,17093,S260,,FALSE,,W2R
1898,skart,skirts,#N/A,1,7437,,,,FALSE,,W2R
1899,skarts,skirts,#N/A,,7437,,,,FALSE,,W2R
1900,skeacher,skechers,#N/A,,995,24527,S260,,FALSE,,W2R
1901,skechar,skechers,#N/A,,995,23790,S260,,FALSE,,W2R
1902,skecthers,skechers,#N/A,,995,13555,S236,,FALSE,,W2R
1903,skercher,skechers,#N/A,,995,347,S626,,FALSE,,W2R
1904,skerchers,skechers,#N/A,,995,29983,S626,,FALSE,,W2R
1905,sketchera,skechers,#N/A,,995,15571,S326,,FALSE,,W2R
1906,sketvhers,skechers,#N/A,,995,301,S316,,FALSE,,W2R
1907,skinfit,skin fit,#N/A,2,,54765,S513,,FALSE,,W2R
1908,skinny belts,belts,#N/A,,57385,,,,FALSE,,W2R
1909,skirt,skirts,#N/A,8741,7437,,,,FALSE,,R1 2 R2
1910,skirts,skirts,#N/A,7437,7437,,,,TRUE,,R2R
1911,skrechers,skechers,#N/A,,995,14526,S626,,FALSE,,W2R
1912,skurt,skirts,skurt,,7437,2017,S630,,FALSE,,W2R
1913,skurt,skirts,#N/A,,7437,,,1,FALSE,,W2R
1914,skurts,skirts,#N/A,,7437,,,,FALSE,,W2R
1915,slashed,slashed,#N/A,7,7,27604,S423,,TRUE,,R2R
