p1_dc,format,city,state,segment_code,consensus_qty,brick_description,forecast_qty,brand,segment,division,brick_code,class_code,division_code,vertical,store_no,batchno,status,article_id,month_year,pin_code,region,wom,family_code,class,sd,article_description,kvi,npi,sold_qty
R396,DIGITAL DC,Bangalore,Karnataka,FI,0.0,CANNISTER VACUM CLNR,3.6075439453125,Philips,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,493620581,11-2024,562123,South,1,FI02,FLOOR CARE SOLUTIONS,PHILIPS VC FC9571/01,PHILIPS VACUUM CLEANER BAGLESS FC9571/01,NA,NA,4.0
R810,DIGITAL DC,Jaipur,Rajasthan,FI,0.0,CANNISTER VACUM CLNR,0.6590140461921692,Philips,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,493620581,11-2024,302022,North,1,FI02,FLOOR CARE SOLUTIONS,PHILIPS VC FC9571/01,PHILIPS VACUUM CLEANER BAGLESS FC9571/01,NA,NA,1.0
SJ99,DIGITAL DC,Sriperumbudur,Tamil Nadu,FI,0.0,CANNISTER VACUM CLNR,0.6590140461921692,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,492391700,11-2024,602105,South,1,FI02,FLOOR CARE SOLUTIONS,EUREKA MaxxVac,EUREKA VACUUM CLEANER MAXXVAC,NA,NA,0.0
SC28,DIGITAL DC,Lucknow,Uttar Pradesh,FI,0.0,CANNISTER VACUM CLNR,0.6590140461921692,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,492391700,11-2024,226401,North 1,1,FI02,FLOOR CARE SOLUTIONS,EUREKA MaxxVac,EUREKA VACUUM CLEANER MAXXVAC,NA,NA,0.0
S597,DIGITAL DC,Guwahati,Assam,FI,0.0,CANNISTER VACUM CLNR,0.0,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,492391700,11-2024,781031,East,1,FI02,FLOOR CARE SOLUTIONS,EUREKA MaxxVac,EUREKA VACUUM CLEANER MAXXVAC,NA,NA,1.0
SJ93,DIGITAL DC,Farrukhnagar,Haryana,FI,0.0,CANNISTER VACUM CLNR,1.0263584852218628,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,492391700,11-2024,122506,North,1,FI02,FLOOR CARE SOLUTIONS,EUREKA MaxxVac,EUREKA VACUUM CLEANER MAXXVAC,NA,NA,0.0
R396,DIGITAL DC,Bangalore,Karnataka,FI,0.0,CANNISTER VACUM CLNR,3.1298916339874268,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,492391700,11-2024,562123,South,1,FI02,FLOOR CARE SOLUTIONS,EUREKA MaxxVac,EUREKA VACUUM CLEANER MAXXVAC,NA,NA,0.0
R696,DIGITAL DC,Bhiwandi,Maharashtra,FI,0.0,CANNISTER VACUM CLNR,4.6130982637405396,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,492391700,11-2024,421302,West,1,FI02,FLOOR CARE SOLUTIONS,EUREKA MaxxVac,EUREKA VACUUM CLEANER MAXXVAC,NA,NA,-1.0
V014,DIGITAL DC,Pune,Maharashtra,FI,0.0,CANNISTER VACUM CLNR,1.1528494358062744,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,492391700,11-2024,413802,West,1,FI02,FLOOR CARE SOLUTIONS,EUREKA MaxxVac,EUREKA VACUUM CLEANER MAXXVAC,NA,NA,0.0
SLKO,DIGITAL DC,Howrah,West Bengal,FI,0.0,CANNISTER VACUM CLNR,2.6360561847686768,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,492391700,11-2024,711310,East,1,FI02,FLOOR CARE SOLUTIONS,EUREKA MaxxVac,EUREKA VACUUM CLEANER MAXXVAC,NA,NA,2.0
SE40,DIGITAL DC,Hyderabad,Telangana,FI,0.0,CANNISTER VACUM CLNR,0.0,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,494227418,11-2024,501401,South,1,FI02,FLOOR CARE SOLUTIONS,EUREKA FORBES PETKIT,EUREKA FORBES BUDDY PET GROOMING KIT,NA,NA,1.0
SJ93,DIGITAL DC,Farrukhnagar,Haryana,FI,0.0,CANNISTER VACUM CLNR,1.1171351671218872,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,494227418,11-2024,122506,North,1,FI02,FLOOR CARE SOLUTIONS,EUREKA FORBES PETKIT,EUREKA FORBES BUDDY PET GROOMING KIT,NA,NA,0.0
V014,DIGITAL DC,Pune,Maharashtra,FI,0.0,CANNISTER VACUM CLNR,1.0072021484375,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,494227418,11-2024,413802,West,1,FI02,FLOOR CARE SOLUTIONS,EUREKA FORBES PETKIT,EUREKA FORBES BUDDY PET GROOMING KIT,NA,NA,0.0
S0UG,DIGITAL DC,Gannavaram,Andhra Pradesh,FI,0.0,CANNISTER VACUM CLNR,0.49383544921875,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,494227418,11-2024,521107,South,1,FI02,FLOOR CARE SOLUTIONS,EUREKA FORBES PETKIT,EUREKA FORBES BUDDY PET GROOMING KIT,NA,NA,0.0
