keyword,synonyms,type
,peas|snap peas,synonym
,pepper|fruity hot pepper|fruity chilli pepper,synonym
,perfume|Eau De Perfume |EDP|Eau De Parfum|Eau De Toilette|EDT|Body Parfum|Cologne|Cologne Spray,synonym
,petha|raksahawa|komora|chaal kumro|safed kolu|kumbala|kumbhalanga|kohla|puhul|neer poosanikai|boodida gummadi kaya|poosani kai,synonym
,phenyl|bathroom cleaner|toilet cleaner,synonym
,phool gobi|phool gobhi|phul gobi|phool kopi|fulevar|hoo kosu|phula kopi|phull gobhi|mal gova|puvva,synonym
,pigweed|templeweed,synonym
,power bank|recharger|portable charger,synonym
,ps5|playstation 5,synonym
,pudina|podina|pudino|puthina|Putina,synonym
,pui saag|poi patta|poi saag,synonym
,pure & tender bathing bar|aqua fresh bathing bar|glycerine soap,synonym
,pyaaz|vengayam|vengaayam|kanda|kaanda|dungri|erulli|savola|valiya|ulli|luunu|venkgayam|ullipaaya|erragadda,synonym
,rawa|suji|sooji|rava,synonym
,rc car|remote control car|remote car,synonym
,rice|rice bag|rice bags,synonym
,rusk|toast,synonym
,santra|komola|narangi|kittale|oranju|kamala|Arancupalam,synonym
,sarso sag|gethiya sag,synonym
,scrubber|scrub,synonym
,shimla mirch|gholar marcha|bhombha marcha|bholar marcha|donne menasina|dhobali mirchi|malu miris|kudai milagai|bengulooru mirapakaaya,synonym
,shower gel|body wash|body & shower wash|body & shower gel|shower gel & body wash|bath & shower cream wash,synonym
,smartwatch|watch smart smartwatch,synonym
,soap case|soap box|soap dish,synonym
,spike gourd|Forest Bitter Goud,synonym
,steam iron|steam iron for cloths,synonym
,stove|burner,synonym
,t50|t50hi,synonym
,tablet|tab,synonym
,tarbooz|tormuz|kallangadi hannu|Thannimathan|Kallingad|tarabhuja|Tarpucani|Puchakaaya|Puchakaya,synonym
,tedhe medhe|bingo,synonym
,thamala pakulu|paan ke patte|supari de patte|verillai|verrila|suparichi pane,synonym
,till|til|ellu|aellu|elu,synonym
,tomato ketchup|tomato sauce,synonym
,tons|tn|tonne|ton,synonym
,toor|arhar,synonym
,truly|true,synonym
,turai|bhol|jhingey|turiya|ghisoda|heeray kayi|peechhinga|dodke|shirale|janhhi|tori|wetakolu|peerkan kai|beera kaaya,synonym
,turee|Kumbaḷakayiyannu holuva cinikayi|mareaachedi|Curaikkay|Gummadikaya,synonym
,tws|truly wireless|true wireless|truly wireless in ear earbuds|tws earbuds,synonym
,umbrella|umbrella for rain|rain umbrella,synonym
,vegetables in fresh|vegetables,synonym
,vegetables|veggies,synonym
,walnut|walnut dry fruit,synonym
,washing liquid|liquid detergent|detergent liquid,synonym
,water bottle|packaged water,synonym
,weight|weighing,synonym
,women night dress|women night wear,synonym
&,and,synonym
0.5L,0.5 L,synonym
0ne plus,oneplus,synonym
0neples,oneplus,synonym
0pp0,oppo,synonym
1,one,synonym
1 plus,oneplus,synonym
1+,oneplus,synonym
1.5tb,1.5 tb,synonym
1.5ton,1.5 ton,synonym
1.6ton,1.6 ton,synonym
1.8ton,1.8 ton,synonym
1/2L,1/2 L,synonym
1/2kg,1/2 kg,synonym
10.1inch,10.1 inch,synonym
10.2inch,10.2 inch,synonym
10.3inch,10.3 inch,synonym
10.4inch,10.4 inch,synonym
10.5inch,10.5 inch,synonym
10.5kg,10.5 kg,synonym
10.9inch,10.9 inch,synonym
10000mAh,10000 mAh,synonym
1000g,1000 g,synonym
1000ml,1000 ml,synonym
10kg,10 kg,synonym
10kmAh,10k mAh,synonym
10tb,10 tb,synonym
11inch,11 inch,synonym
11kg,11 kg,synonym
12.4inch,12.4 inch,synonym
12.9inch,12.9 inch,synonym
128gb,128 gb,synonym
12gb,12 gb,synonym
12tb,12 tb,synonym
13.3inch,13.3 inch,synonym
14inch,14 inch,synonym
14tb,14 tb,synonym
15.6inch,15.6 inch,synonym
16gb,16 gb,synonym
16tb,16 tb,synonym
18tb,18 tb,synonym
1L,1 L,synonym
1gb,1 gb,synonym
1kg,1 kg,synonym
1kilo,1 kilo,synonym
1plus,oneplus,synonym
1tb,1 tb,synonym
2,two,synonym
20000mAh,20000 mAh,synonym
2000g,2000 g,synonym
2000ml,2000 ml,synonym
20kmAh,20k mAh,synonym
21.5inch,21.5 inch,synonym
24inch,24 inch,synonym
25 W,25 Watt,synonym
256gb,256 gb,synonym
25W,25 Watt,synonym
2L,2 L,synonym
2gb,2 gb,synonym
2kg,2 kg,synonym
2kilo,2 kilo,synonym
2tb,2 tb,synonym
2ton,2 ton,synonym
3,three,synonym
32gb,32 gb,synonym
3gb,3 gb,synonym
4,four,synonym
4.7inch,4.7 inch,synonym
43inch,43 inch,synonym
4gb,4 gb,synonym
4kg,4 kg,synonym
4kilo,4 kilo,synonym
4kilogram,4 kilogram,synonym
4kilos,4 kilos,synonym
4tb,4 tb,synonym
5,five,synonym
5.3inch,5.3 inch,synonym
5.4inch,5.4 inch,synonym
5.8inch,5.8 inch,synonym
5.99inch,5.99 inch,synonym
5000g,5000 g,synonym
5000ml,5000 ml,synonym
500g,500 g,synonym
500gb,500 gb,synonym
500ml,500 ml,synonym
50inch,50 inch,synonym
512gb,512 gb,synonym
55inch,55 inch,synonym
58inch,58 inch,synonym
5L,5 L,synonym
5inch,5 inch,synonym
5kg,5 kg,synonym
5kilo,5 kilo,synonym
5star,5 star,synonym
5tb,5 tb,synonym
6.1inch,6.1 inch,synonym
6.22inch,6.22 inch,synonym
6.26inch,6.26 inch,synonym
6.2inch,6.2 inch,synonym
6.2kg,6.2 kg,synonym
6.35inch,6.35 inch,synonym
6.38inch,6.38 inch,synonym
6.39inch,6.39 inch,synonym
6.3inch,6.3 inch,synonym
6.43inch,6.43 inch,synonym
6.44inch,6.44 inch,synonym
6.4inch,6.4 inch,synonym
6.51inch,6.51 inch,synonym
6.52inch,6.52 inch,synonym
6.53inch,6.53 inch,synonym
6.55inch,6.55 inch,synonym
6.56inch,6.56 inch,synonym
6.58inch,6.58 inch,synonym
6.5inch,6.5 inch,synonym
6.5kg,6.5 kg,synonym
6.67inch,6.67 inch,synonym
6.6inch,6.6 inch,synonym
6.7inch,6.7 inch,synonym
6.8inch,6.8 inch,synonym
