p1_dc,format,city,state,segment_code,consensus_qty,brick_description,forecast_qty,brand,segment,division,brick_code,class_code,division_code,vertical,store_no,batchno,status,article_id,month_year,pin_code,region,wom,family_code,class,sd,article_description,kvi,npi,sold_qty
S0GZ,digitaldc,Sawer,Madhya Pradesh,FH,1.0,LED TV 40 TO 54,0.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,oop,493841828,11-2024,453771,West,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,43X80L,SONY 43 UHD SMART LED TV 43X80L,non kvi,NA,0.0
R804,digitaldc,Vizag,Andhra Pradesh,FH,1.0,LED TV 40 TO 54,1.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,oop,493841828,11-2024,530046,South,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,43X80L,SONY 43 UHD SMART LED TV 43X80L,non kvi,NA,0.0
SJ99,digitaldc,Sriperumbudur,Tamil Nadu,FH,4.0,LED TV 40 TO 54,3.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,oop,493841828,11-2024,602105,South,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,43X80L,SONY 43 UHD SMART LED TV 43X80L,non kvi,NA,2.0
S597,digitaldc,Guwahati,Assam,FH,1.0,LED TV 40 TO 54,5.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,oop,493841828,11-2024,781031,East,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,43X80L,SONY 43 UHD SMART LED TV 43X80L,non kvi,NA,2.0
S0CV,digitaldc,Rajpura,Punjab,FH,1.0,LED TV 40 TO 54,0.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,oop,493841828,11-2024,140401,North,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,43X80L,SONY 43 UHD SMART LED TV 43X80L,non kvi,NA,0.0
R278,digitaldc,Ranchi,Jharkhand,FH,6.0,LED TV 40 TO 54,19.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,active,494410724,11-2024,834010,East,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,SONY K43S20,SONY 43 UHD BRAVIA 2 SMART LED TV K43S20,non kvi,NA,16.0
SLW9,digitaldc,Ranchi,Jharkhand,FH,11.0,LED TV 40 TO 54,0.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,active,494410724,11-2024,834010,Ranchi,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,SONY K43S20,SONY 43 UHD BRAVIA 2 SMART LED TV K43S20,non kvi,NA,0.0
SJ48,digitaldc,Dharwad,Karnataka,FH,42.0,LED TV 40 TO 54,0.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,active,494410724,11-2024,580011,Bangalore,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,SONY K43S20,SONY 43 UHD BRAVIA 2 SMART LED TV K43S20,non kvi,NA,0.0
SD78,digitaldc,Ernakulam,Kerala,FH,7.0,LED TV 40 TO 54,11.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,active,494410724,11-2024,683561,South,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,SONY K43S20,SONY 43 UHD BRAVIA 2 SMART LED TV K43S20,non kvi,NA,5.0
R804,digitaldc,Vizag,Andhra Pradesh,FH,54.0,LED TV 40 TO 54,39.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,active,494410724,11-2024,530046,South,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,SONY K43S20,SONY 43 UHD BRAVIA 2 SMART LED TV K43S20,non kvi,NA,28.0
